seal_id,words,encoding 
480,perun payir eṭu,8 9 65 12 53 5 
481,arasar pēr kaasu,9 9 43 14 66 12 
482,iruvar cīlai mai,35 13 67 1 46 5 
483,vanigar pon māṭu okku,1 1 3 12 28 2 33 5 
484,arimai nāyakan muttirai mai,39 9 7 9 2 1 46 5 
485,maramudaiyan vaḻi cīlai,37 1 24 10 67 1 
486,arasar payir oḻi,9 9 65 12 70 1 
487,maramudaiyan pāṇai velli,37 1 13 8 4 12 
488,vanigar cēvai muttirai,1 1 21 11 2 1 
489,kōṭṭai maramudaiyan kānu,57 10 37 1 20 12 
490,arasar mūlam āl okku,9 9 68 14 47 5 33 5 
491,nambi kālam oḻi,19 13 49 14 70 1 
492,arimai nāṭṭu il,39 9 72 10 48 5 
493,vanigar mālāi koṭu,1 1 41 12 38 2 
494,ampalam perun cīlai,62 9 8 9 67 1 
495,maramudaiyan nilam oḻi mai,37 1 61 10 70 1 46 5 
496,nambi kaasu muttirai,19 13 66 12 2 1 
497,ampalam pāṇ payir okku,62 9 29 8 65 12 33 5 
498,vanigar cēvai cīlai,1 1 21 11 67 1 
499,nāṭṭu maramudaiyan kaasu,72 10 37 1 66 12 
500,nambi muṭiyum eṭu,19 13 75 14 53 5 
501,utaiyavar vāy muttirai,34 13 54 14 2 1 
502,makkal pon mai,64 13 3 12 46 5 
503,vanigar pon kaṇ,1 1 3 12 44 2 
504,perumai arasar oḻi okku,76 9 9 9 70 1 33 5 
505,maramudaiyan kadalkol muttirai,37 1 6 10 2 1 
506,utaiyavar mūlam cīlai mai,34 13 68 14 67 1 46 5 
507,perumai koḷlaṭai velli,76 9 32 8 4 12 
508,vanigar cēvai oḻi,1 1 21 11 70 1 
509,ur maramudaiyan kānu,10 10 37 1 20 12 
510,utaiyavar velli āl,34 13 4 12 47 5 
511,iruvar peyar kadalkol okku,35 13 59 14 6 10 33 5 
512,aracu ur il,77 9 10 10 48 5 
513,vanigar mālāi itta,1 1 41 12 51 2 
514,aracu arimai muttirai,77 9 39 9 2 1 
515,maramudaiyan vayil cīlai,37 1 12 10 67 1 
516,iruvar muṭiyum oḻi,35 13 75 14 70 1 
517,kāval aḷavu payir mai,85 9 36 8 65 12 46 5 
518,vanigar cēvai muttirai okku,1 1 21 11 2 1 33 5 
519,nādu maramudaiyan kaasu,17 10 37 1 66 12 
520,iruvar vayil eṭu,35 13 12 10 53 5
